1  object  b1,1.708372,1.384286,1.639464,1.730997,1.399037,1.093796,0.459464,0.408979,0.880837,1.292382,0.583859,0.279446,1.42512,1.242748,1.334878,0.557619,1.217409,0.596475,-0.04798,0.258184,0.538176,0.618127,0.408671,0.920858,0.67456,1.910999,1.9195,1.82012,1.309721,0.943837,0.774229,0.8244,0.975328,0.038402,0.569611,0.830389,0.896642,1.587228,1.015605,0.965526,0.730152,0.238763,0.147399,0.019833,0.079545,0.69919
2  object4  b2,2.062913,1.797022,2.003426,2.201482,2.151084,1.830037,1.016623,0.792431,0.792034,2.185481,1.654933,1.273263,1.840724,1.99218,2.030138,1.552722,2.150272,1.375609,0.476046,1.122716,1.511751,1.618251,0.572317,1.32444,0.747761,2.088255,2.314731,2.313515,1.89527,1.578533,1.314481,0.824726,1.873089,0.875328,1.108983,1.271858,1.34546,2.037957,1.833229,2.097119,1.685077,1.058508,0.736179,0.718033,0.839676,1.002887
3  object16  b3,1.880195,1.524406,1.919919,2.125268,2.021991,1.638132,0.859275,0.460403,0.467225,1.722574,0.795881,0.380597,1.653612,1.62329,1.727759,1.019111,1.777991,0.893141,0.165114,0.677525,1.027106,1.124079,0.500253,1.32912,0.899844,2.195144,2.191631,2.171776,1.741149,1.382856,1.128644,0.631536,1.351124,0.221583,0.548233,1.146829,1.104783,1.754337,1.48265,1.671072,1.117309,0.661199,0.621913,0.410385,0.390376,0.559207
4  object64  b4,1.77522,1.595055,1.519204,1.690426,1.401262,0.959537,0.373851,0.091482,0.042153,1.147228,0.348978,0.018961,1.588915,1.42806,1.295871,0.32929,1.137401,0.28323,-0.396288,0.002601,0.401328,0.482308,-0.01885,1.274864,1.035409,1.927227,1.871971,1.764142,1.105681,0.737152,0.493463,-0.023432,0.675615,-0.419156,-0.0426,1.20987,1.059246,1.50724,0.990296,0.959587,0.323941,-0.11519,-0.209229,-0.133451,-0.091262,0.230746
5  object256  b5,1.98555,1.934487,1.664497,1.807784,1.461243,1.042253,0.329637,0.067801,0.14062,1.056499,0.059046,-0.521162,1.775888,1.496948,1.26644,0.311635,1.137905,-0.003452,-0.823798,-0.245077,0.090431,0.255812,-0.104455,1.706455,1.241364,2.026956,2.048927,1.929299,1.335799,0.996492,0.614299,0.109914,0.653049,-0.483748,-0.063099,1.533735,1.142934,1.597268,0.999848,0.92339,0.294193,-0.373023,-0.487566,-0.503601,-0.524909,0.203775
6  object  SE1,0.174459,0.181657,0.170149,0.178174,0.189481,0.21096,0.21425,0.202198,0.19752,0.19684,0.22382,0.228511,0.187645,0.190443,0.189881,0.22015,0.203745,0.227514,0.233939,0.223327,0.228112,0.225492,0.220318,0.21465,0.212284,0.170461,0.1679,0.1782,0.204731,0.210596,0.21289,0.1917,0.206783,0.213501,0.225407,0.216257,0.1915,0.170826,0.204459,0.19583,0.214036,0.223656,0.233113,0.22833,0.231548,0.232417
7  object4  SE2,0.174464,0.181492,0.169942,0.178039,0.189369,0.210866,0.214092,0.2021,0.197295,0.196796,0.223788,0.228478,0.187812,0.190265,0.18977,0.220158,0.20377,0.227479,0.233978,0.223266,0.228153,0.225471,0.220071,0.214698,0.212111,0.170348,0.167788,0.178133,0.204602,0.210454,0.212729,0.191558,0.206629,0.213237,0.225266,0.216315,0.191165,0.170543,0.204463,0.195703,0.213964,0.2237,0.233215,0.228203,0.231447,0.232302
8  object16  SE3,0.174699,0.181834,0.17028,0.17835,0.18969,0.211187,0.214486,0.202479,0.19769,0.196929,0.223922,0.228624,0.187992,0.190539,0.189955,0.220177,0.203891,0.227621,0.233996,0.223373,0.228205,0.225632,0.220473,0.214954,0.212494,0.170638,0.168003,0.178396,0.204917,0.210821,0.213113,0.191931,0.206867,0.213566,0.225509,0.216528,0.191541,0.170867,0.204481,0.195902,0.214099,0.223631,0.233094,0.228437,0.231694,0.232612
9  object64  SE4,0.172783,0.179604,0.168181,0.176249,0.187452,0.208833,0.211843,0.19988,0.195203,0.195504,0.222337,0.226958,0.186128,0.188735,0.18849,0.219096,0.202305,0.225986,0.232735,0.222067,0.226793,0.223862,0.217943,0.212692,0.209944,0.168637,0.166438,0.176425,0.202684,0.208311,0.210536,0.189452,0.205163,0.211624,0.223656,0.214431,0.189488,0.169083,0.203496,0.194393,0.212704,0.22287,0.232274,0.226578,0.229664,0.230267
10  object256  SE5,0.173305,0.180164,0.168695,0.176778,0.188026,0.209437,0.21252,0.200577,0.195821,0.195855,0.222731,0.227373,0.186708,0.189161,0.188839,0.219367,0.20272,0.226392,0.233059,0.222383,0.22716,0.22431,0.218554,0.213322,0.210586,0.169145,0.166816,0.176934,0.203242,0.20895,0.21119,0.190099,0.205565,0.212071,0.224098,0.215009,0.189958,0.169492,0.203742,0.194749,0.21304,0.223067,0.2325,0.227024,0.230162,0.230852
11  object  t1,9.792391,7.620344,9.635443,9.715194,7.383506,5.184861,2.144521,2.022665,4.459492,6.565659,2.608609,1.222901,7.594769,6.525558,7.030089,2.532906,5.97516,2.621704,-0.205095,1.156082,2.359259,2.741232,1.854914,4.29005,3.177634,11.210794,11.432377,10.213931,6.397277,4.481735,3.636764,4.300471,4.716667,0.179869,2.527034,3.839817,4.682217,9.291477,4.96727,4.930425,3.411351,1.067547,0.632309,0.08686,0.343536,3.008342
12  object4  t2,11.824264,9.90136,11.788872,12.365156,11.359215,8.678663,4.748524,3.920979,4.014459,11.10529,7.395089,5.572793,9.800864,10.470526,10.69787,7.052769,10.552463,6.047201,2.034574,5.028613,6.626051,7.177196,2.600597,6.168863,3.52532,12.25878,13.795534,12.987608,9.263209,7.500602,6.179131,4.305372,9.06497,4.104957,4.922999,5.879661,7.03821,11.949809,8.966069,10.715816,7.875516,4.731817,3.156646,3.146473,3.627932,4.317159
13  object16  t3,10.762481,8.38352,11.27506,11.916253,10.659425,7.756791,4.006196,2.273827,2.363416,8.747202,3.55428,1.664733,8.796165,8.519472,9.095618,4.628594,8.720301,3.923815,0.705627,3.033161,4.500807,4.981905,2.268996,6.183264,4.234671,12.864314,13.045201,12.173925,8.496853,6.559378,5.295996,3.290424,6.531361,1.037541,2.431091,5.296453,5.767871,10.26725,7.250791,8.53016,5.218664,2.956654,2.668077,1.796492,1.684881,2.404036
14  object64  t4,10.274301,8.880939,9.03315,9.591118,7.475293,4.594764,1.764756,0.457683,0.215943,5.868052,1.569591,0.083543,8.536686,7.566483,6.875014,1.502946,5.622212,1.25331,-1.702745,0.011714,1.769576,2.154487,-0.086491,5.993934,4.931846,11.428238,11.247277,9.999361,5.455189,3.538712,2.34384,-0.123682,3.293062,-1.980661,-0.190473,5.642241,5.590035,8.914186,4.866412,4.936336,1.522968,-0.516847,-0.900786,-0.588983,-0.397375,1.002079
15  object256  t5,11.456982,10.737342,9.866878,10.226314,7.771506,4.97646,1.55109,0.338029,0.718103,5.394286,0.265098,-2.292098,9.511559,7.913609,6.706466,1.420609,5.613196,-0.015248,-3.534712,-1.102049,0.398095,1.140442,-0.477938,7.999442,5.894819,11.98354,12.28259,10.904075,6.572462,4.769048,2.908747,0.578193,3.176847,-2.281071,-0.281569,7.133345,6.016767,9.423871,4.907412,4.741427,1.38093,-1.672245,-2.097053,-2.21827,-2.280611,0.882709
16  object  p1,0,0,0,0,0,0,0.032227,0.043369,0.000009,0,0.009225,0.221653,0,0,0,0.011461,0,0.00888,0.837563,0.247917,0.018499,0.006228,0.063897,0.00002,0.001529,0,0,0,0,0.000008,0.00029,0.000019,0.000003,0.857315,0.011654,0.000131,0.000003,0,0.000001,0.000001,0.000672,0.28598,0.527314,0.930617,0.73125,0.002691
17  object4  p2,0,0,0,0,0,0,0.000002,0.000094,0.000064,0,0,0,0,0,0,0,0,0,0.042154,0.000001,0,0,0.009441,0,0.000442,0,0,0,0,0,0,0.000018,0,0.000044,0.000001,0,0,0,0,0,0,0.000003,0.001643,0.001701,0.0003,0.000017
18  object16  p3,0,0,0,0,0,0,0.000066,0.023184,0.018294,0,0.000396,0.096271,0,0,0,0.000004,0,0.000093,0.480577,0.002481,0.000008,0.000001,0.023478,0,0.000025,0,0,0,0,0,0,0.001035,0,0.299736,0.015225,0,0,0,0,0,0,0.003182,0.00775,0.072713,0.092319,0.016394
