1  object  b1,1.105174,1.233235,1.931276,1.529796,1.475121,1.299936,0.915053,0.323088,-0.223803,1.881564,2.011923,1.984517,1.613177,1.706343,1.071252,1.504654,1.777687,0.226771,-0.218889,0.146139,0.309043,0.538088,-0.092092,0.875519,0.308088,1.80213,1.639544,2.079233,1.65273,1.195818,0.816729,0.517364,1.752361,1.581977,1.329456,1.467416,1.237116,1.31305,1.286736,1.759421,-0.208809,-0.074877,0.479814,0.389832,0.336695,0.112897
2  object4  b2,1.643982,1.483773,2.065243,2.043948,2.080687,1.708572,0.933938,0.390504,-0.492703,1.704418,1.906561,2.188449,1.903123,1.586867,1.28696,1.774491,1.768455,0.362644,-0.44397,-0.021247,0.291933,0.323188,-0.10747,1.289137,0.959874,1.7513,1.902646,2.118082,1.678283,1.270307,1.308137,0.218276,1.782706,1.714571,1.324612,1.580927,1.230206,1.412938,1.707409,1.984594,0.110488,0.245653,0.666199,0.694946,0.636005,0.359042
3  object16  b3,1.292131,1.316785,2.132995,1.955684,1.945826,1.489345,0.908275,0.401924,-0.382726,1.75261,1.749119,1.769444,1.674355,1.845855,1.101634,1.879408,1.796154,0.46193,-0.085743,0.263272,0.388414,0.482285,-0.123917,1.079632,0.600205,1.714881,1.662926,2.272354,1.731101,1.206599,0.987556,0.135006,1.621101,1.390167,0.896306,1.531022,1.206385,1.348712,1.480524,1.840895,-0.062467,0.142721,0.682748,0.663368,0.563783,0.5444
4  object64  b4,0.764747,0.98198,1.946994,1.658273,1.504605,1.131136,0.59196,0.106402,-0.626888,1.146007,0.878804,0.732851,1.387595,2.070293,0.784918,1.144444,1.078078,-0.038661,-0.679871,-0.302332,-0.269057,-0.10266,-0.30127,0.700358,0.002913,1.38829,1.188114,1.897127,1.287235,0.923209,0.70123,-0.101242,0.736342,0.467143,0.452018,1.47296,1.170447,1.0448,0.703832,0.87545,-0.532778,-0.537797,0.110277,0.001242,-0.100971,0.088757
5  object256  b5,1.508288,1.654381,2.323218,1.934992,1.496503,1.236748,0.830109,0.072324,-0.21354,1.920853,1.20261,0.882208,2.031041,2.642071,1.678971,1.256435,1.687242,0.191478,-0.271016,0.160218,0.185048,0.277858,-0.130541,1.341975,0.601072,1.886651,1.678692,2.114918,1.427478,1.177687,0.926283,0.160795,1.306572,0.905973,0.93752,2.06684,1.831003,1.746836,0.838718,1.121434,-0.317206,-0.195748,0.411227,0.269655,0.173214,0.363714
6  object  SE1,0.193908,0.183535,0.158055,0.164306,0.176069,0.187952,0.188393,0.165387,0.172651,0.170081,0.180318,0.179395,0.175764,0.151601,0.20235,0.199046,0.182851,0.237918,0.239787,0.247697,0.244886,0.237892,0.225734,0.213464,0.229072,0.159661,0.186447,0.157128,0.167556,0.163172,0.160071,0.162428,0.184002,0.194674,0.211326,0.187686,0.205154,0.196518,0.214283,0.192724,0.241459,0.237969,0.239834,0.24241,0.241742,0.21598
7  object4  SE2,0.193678,0.183426,0.158096,0.164239,0.176136,0.187986,0.188343,0.165382,0.17254,0.170328,0.18041,0.179431,0.175645,0.151543,0.202376,0.199212,0.183008,0.237965,0.239844,0.247907,0.244991,0.237887,0.225486,0.213752,0.229254,0.159592,0.186381,0.157079,0.167445,0.163087,0.159989,0.162305,0.184248,0.194579,0.211129,0.187794,0.205365,0.196745,0.214489,0.192783,0.241533,0.238051,0.239944,0.24255,0.241804,0.215724
8  object16  SE3,0.194047,0.183772,0.15834,0.16454,0.176414,0.188298,0.188691,0.165686,0.17288,0.170534,0.18068,0.17971,0.175967,0.151816,0.202698,0.199457,0.183257,0.238293,0.240153,0.248121,0.245239,0.238214,0.225886,0.213986,0.229546,0.159893,0.186704,0.157351,0.167769,0.163404,0.160301,0.162629,0.184464,0.194924,0.211505,0.188049,0.205567,0.196975,0.214703,0.193052,0.241831,0.238363,0.240213,0.242779,0.242059,0.216137
9  object64  SE4,0.191749,0.181424,0.156445,0.162448,0.174269,0.185964,0.186253,0.163526,0.170609,0.168683,0.178533,0.177558,0.173789,0.149907,0.200244,0.197277,0.181162,0.23561,0.237529,0.245754,0.242803,0.235581,0.223359,0.211755,0.226997,0.157822,0.184409,0.155409,0.165599,0.161259,0.158191,0.160489,0.182486,0.192522,0.209048,0.185913,0.203506,0.194863,0.21254,0.190855,0.239233,0.235721,0.237717,0.240409,0.239646,0.213565
10  object256  SE5,0.192307,0.182044,0.156994,0.163012,0.174907,0.186641,0.186928,0.164146,0.171213,0.169335,0.17918,0.178176,0.174351,0.15042,0.200944,0.197959,0.181827,0.236366,0.238267,0.246481,0.243497,0.236294,0.223967,0.212521,0.227791,0.158383,0.185022,0.155933,0.16617,0.161838,0.158762,0.161052,0.183167,0.193154,0.209653,0.186556,0.204166,0.195563,0.213224,0.191487,0.239969,0.23648,0.238439,0.241102,0.240314,0.21419
11  object  t1,5.699487,6.719341,12.21902,9.310638,8.378075,6.916319,4.857161,1.95353,-1.296274,11.062786,11.157651,11.06226,9.178088,11.255503,5.294062,7.559318,9.722055,0.953149,-0.912851,0.589992,1.261986,2.261901,-0.407967,4.10148,1.344939,11.28723,8.793625,13.232737,9.863746,7.328553,5.102305,3.185194,9.523618,8.126282,6.291029,7.818448,6.030185,6.681561,6.004851,9.129207,-0.864782,-0.31465,2.00061,1.608149,1.392784,0.52272
12  object4  t2,8.488223,8.089242,13.063219,12.44497,11.812958,9.088807,4.958716,2.361225,-2.855592,10.006708,10.567947,12.196605,10.835051,10.471375,6.359267,8.907546,9.663259,1.523937,-1.851082,-0.085707,1.191607,1.358582,-0.476614,6.03098,4.18695,10.97361,10.208385,13.484156,10.022912,7.789118,8.176404,1.344849,9.675561,8.81169,6.273942,8.418402,5.990349,7.18157,7.96036,10.294423,0.457445,1.031936,2.776476,2.865166,2.630252,1.664356
13  object16  t3,6.658853,7.165312,13.470976,11.885771,11.029896,7.90951,4.813556,2.425812,-2.213829,10.277184,9.680779,9.846133,9.515164,12.158525,5.434844,9.422642,9.801284,1.938491,-0.357034,1.061063,1.583821,2.024587,-0.54858,5.045331,2.614745,10.725154,8.906775,14.441267,10.318365,7.384142,6.16065,0.830144,8.788149,7.13185,4.237758,8.141627,5.868585,6.847128,6.895694,9.535769,-0.258311,0.598755,2.842261,2.73239,2.329113,2.518767
14  object64  t4,3.988261,5.412628,12.445257,10.207991,8.633798,6.082557,3.178258,0.650674,-3.674425,6.793862,4.92237,4.127387,7.984357,13.81056,3.919797,5.801199,5.950913,-0.16409,-2.862269,-1.230225,-1.10813,-0.435774,-1.34882,3.307396,0.012834,8.796551,6.442835,12.207301,7.773227,5.724997,4.432808,-0.630836,4.03505,2.426439,2.162269,7.922829,5.751412,5.361718,3.311522,4.586995,-2.227024,-2.281495,0.4639,0.005168,-0.421333,0.415599
15  object256  t5,7.843144,9.087829,14.798103,11.870258,8.555989,6.62634,4.440806,0.440609,-1.247217,11.343519,6.711723,4.951331,11.64914,17.564587,8.355426,6.34696,9.279361,0.81009,-1.137446,0.650022,0.759962,1.175898,-0.58286,6.31456,2.638702,11.91192,9.07291,13.563021,8.590457,7.276944,5.834412,0.9984,7.133246,4.690411,4.471761,11.07892,8.968218,8.932364,3.933503,5.85646,-1.321861,-0.827754,1.724666,1.118431,0.720781,1.69809
16  object  p1,0,0,0,0,0,0,0.000001,0.05103,0.195176,0,0,0,0,0,0,0,0,0.340743,0.361537,0.555319,0.207244,0.023914,0.683358,0.000044,0.178946,0,0,0,0,0,0,0.00149,0,0,0,0,0,0,0,0,0.38736,0.753128,0.0457,0.108113,0.163989,0.601278
