1  object  b1,2.264251,1.837702,2.072219,2.297131,2.1398,1.974144,1.431351,0.342166,0.934229,2.084671,2.083309,2.101894,2.297805,2.237888,2.760657,2.125447,1.887187,0.965007,1.233961,1.87356,1.807907,1.825772,0.856149,2.292082,2.301113,1.99684,2.374691,2.086865,1.921849,1.551414,1.217643,1.050571,2.204,2.490935,1.91212,2.157025,2.235186,2.525268,2.165694,1.906271,1.097802,1.017217,1.685232,1.663854,1.647687,1.52067
2  object4  b2,2.361899,1.726168,2.149207,2.372401,2.229086,2.122374,1.386486,0.283768,0.593066,2.336561,2.10108,2.029968,2.371658,2.376026,2.718722,2.273365,2.055393,0.959418,1.206368,1.854409,1.885026,1.844008,0.988511,2.288245,2.390214,1.924331,2.382217,2.256884,2.04706,1.68462,1.165878,1.143843,2.43291,2.73935,2.165943,2.072285,2.136215,2.391974,2.478488,2.32882,1.480255,1.043599,1.753339,1.751924,1.756669,1.560984
3  object16  b3,2.537336,1.994228,2.365692,2.311304,2.069932,1.980721,1.38668,0.467431,0.312678,1.879463,1.848369,1.94336,2.52668,2.582807,2.477068,2.08719,1.737508,0.939123,1.123385,1.696752,1.604587,1.551086,0.898873,2.32445,2.417643,2.012244,2.41341,2.166505,2.012372,1.703308,1.298268,0.849549,2.159194,2.056375,1.783963,2.491884,2.49039,2.610044,2.359961,1.997624,1.415401,1.231512,1.594321,1.553338,1.502317,1.388561
4  object64  b4,2.684452,2.07775,2.121612,2.200967,1.926682,1.926117,1.41033,0.553965,0.432197,1.550169,1.611079,1.916588,2.695594,2.519596,1.913596,1.720247,1.421855,0.463111,0.662049,1.186516,1.254305,1.315953,0.81049,2.551324,2.577673,2.133206,2.321834,2.053489,1.854167,1.56065,1.202521,0.77941,1.771966,1.52574,1.553694,2.555561,2.616812,2.405172,1.955181,1.599805,0.882473,0.822112,1.375163,1.341756,1.253709,1.299719
5  object256  b5,2.8722,2.106418,2.030894,2.065903,1.979643,2.012014,1.369541,0.564087,0.065276,1.586966,1.708178,1.965695,2.625487,2.511681,1.768625,1.889602,1.600704,0.89021,0.885512,1.419099,1.45087,1.413111,0.951687,2.680848,2.692868,2.220451,2.220093,1.974724,1.837028,1.634566,1.281395,0.767782,1.735698,1.376881,1.564208,2.651057,2.808843,2.343894,2.054045,1.712178,1.316604,1.25722,1.564277,1.491346,1.39093,1.402653
6  object  SE1,0.112532,0.164094,0.153394,0.146174,0.14201,0.149773,0.155807,0.14507,0.162474,0.167226,0.178588,0.153764,0.108065,0.150903,0.137937,0.175298,0.183721,0.216212,0.200032,0.186668,0.19069,0.193006,0.167886,0.121744,0.122649,0.158709,0.137986,0.13682,0.124331,0.132014,0.15017,0.150328,0.168225,0.147779,0.166132,0.099408,0.121881,0.149396,0.161658,0.178413,0.191993,0.209291,0.197383,0.183659,0.180088,0.170273
7  object4  SE2,0.112484,0.164001,0.153405,0.146154,0.141934,0.149748,0.155776,0.145038,0.162419,0.167208,0.178623,0.15363,0.107989,0.151151,0.137992,0.175346,0.183715,0.216129,0.199896,0.186641,0.190717,0.193044,0.16782,0.121653,0.12255,0.15862,0.137942,0.13672,0.124258,0.131957,0.150108,0.150292,0.168362,0.14771,0.166014,0.099411,0.121791,0.149607,0.161797,0.178515,0.191874,0.20932,0.197433,0.183513,0.179962,0.170201
8  object16  SE3,0.11268,0.164303,0.15366,0.146402,0.142205,0.150018,0.156067,0.145313,0.16273,0.167493,0.178898,0.15393,0.108197,0.151288,0.138182,0.175595,0.184012,0.216502,0.200272,0.186955,0.191017,0.193343,0.168141,0.121885,0.122777,0.158912,0.138184,0.136988,0.124502,0.132213,0.150398,0.150577,0.168586,0.147974,0.16633,0.099591,0.122016,0.149751,0.161994,0.178763,0.192234,0.209657,0.197722,0.18386,0.180305,0.170523
9  object64  SE4,0.111299,0.162237,0.151761,0.144593,0.140365,0.148099,0.154029,0.143399,0.16059,0.165417,0.176765,0.15197,0.106809,0.149828,0.136611,0.17358,0.181789,0.213854,0.197744,0.184661,0.188719,0.19103,0.165935,0.120343,0.121265,0.156917,0.136466,0.135211,0.122861,0.130468,0.148417,0.148597,0.166679,0.146135,0.164217,0.098302,0.120508,0.148264,0.160231,0.176707,0.189797,0.207103,0.195417,0.181561,0.17801,0.16831
10  object256  SE5,0.111664,0.16278,0.152302,0.145093,0.140857,0.148634,0.154601,0.143936,0.161182,0.165993,0.177377,0.152471,0.107171,0.150357,0.13707,0.174158,0.182406,0.214559,0.198401,0.185292,0.189374,0.191694,0.16654,0.120741,0.12165,0.157441,0.136929,0.135676,0.123301,0.130946,0.14896,0.149151,0.167278,0.146623,0.164766,0.098674,0.120894,0.148777,0.160785,0.177328,0.190436,0.207834,0.196079,0.182149,0.178607,0.168911
