1  object  b1,-0.396075,-0.243913,1.255813,0.98327,1.619157,1.415973,0.90786,0.570201,0.447606,1.836376,1.221919,0.822909,-0.47345,1.14562,1.833926,0.797635,1.698151,0.391483,-0.116045,-0.098975,0.483843,0.319529,0.490416,0.908971,1.031497,1.431918,1.324614,1.94311,1.66957,1.466432,0.900532,0.701995,1.776147,1.266822,0.842026,0.83851,1.605624,2.054841,1.063128,1.519518,0.789903,-0.020585,0.225536,-0.014543,0.213957,0.357794
2  object4  b2,-0.091493,0.077941,1.101212,1.031529,1.713998,1.487026,0.927719,0.626924,0.121549,2.058177,1.893206,1.523729,-0.336172,1.09647,1.936383,1.064191,2.036086,0.855591,0.368777,0.338835,0.479893,0.283291,0.293282,0.797333,0.790095,1.130745,1.323609,1.839883,1.646873,1.354355,0.72485,0.174566,2.127697,1.819159,1.012758,0.849709,1.647669,2.253799,1.551832,2.086209,1.348384,0.513749,0.705903,0.344757,0.276759,0.233643
3  object16  b3,-0.178201,0.071646,1.378637,1.100235,1.939128,1.723303,1.097306,0.924114,0.366172,2.146145,1.618751,0.915913,-0.274853,1.677043,2.134543,1.191648,2.095023,0.613529,0.209157,0.280731,0.589248,0.4548,0.43812,1.029686,1.245506,1.621982,1.385163,1.957184,1.814828,1.465196,0.833273,0.481047,2.204963,1.492149,0.860265,1.189981,1.984972,2.469481,1.461018,1.934914,0.950018,0.273381,0.477118,0.11755,0.188692,0.423294
4  object64  b4,-0.20136,0.137627,1.484462,1.226034,1.820311,1.512805,0.863262,0.450315,-0.075992,1.910015,1.249568,0.552637,-0.309182,2.008508,2.148501,1.117448,1.842327,0.397466,-0.03016,-0.152389,0.023098,-0.085094,0.330588,1.276911,1.245043,1.523071,1.385294,1.817672,1.467756,1.087016,0.449222,0.122668,1.729673,0.8737,0.39732,1.852808,2.04419,2.263587,1.323616,1.50581,0.763598,0.287991,0.214263,-0.047778,0.051834,0.494613
5  object256  b5,0.080946,0.362122,1.799454,1.326337,1.940241,1.663831,1.076796,0.635092,0.372752,1.772927,1.123,0.621169,-0.284253,2.14011,2.002413,1.280186,1.786327,0.501139,0.169543,0.210638,0.209599,0.143656,0.633738,1.790418,1.795329,1.925657,1.448276,1.921706,1.704253,1.408514,0.752619,0.635845,1.648291,1.012122,0.795081,2.200944,2.081861,2.128102,1.397213,1.63721,0.782513,0.143948,0.317468,0.06104,0.29659,0.620412
6  object  SE1,0.244858,0.248999,0.207186,0.202361,0.184576,0.20631,0.223545,0.224534,0.224054,0.166992,0.19639,0.216937,0.237766,0.167948,0.154763,0.21918,0.17206,0.243554,0.248278,0.246728,0.232733,0.226734,0.233332,0.210633,0.207696,0.200747,0.203839,0.182143,0.197906,0.197726,0.216048,0.212192,0.166743,0.192785,0.225654,0.17733,0.153072,0.131473,0.204367,0.178948,0.232026,0.248009,0.242156,0.246163,0.246191,0.237298
7  object4  SE2,0.245408,0.249294,0.20735,0.202723,0.184781,0.206478,0.223633,0.224527,0.223999,0.167188,0.196669,0.217054,0.238175,0.168023,0.15477,0.219419,0.172286,0.243974,0.248748,0.247082,0.232828,0.226691,0.233436,0.210961,0.207861,0.200808,0.204284,0.182375,0.197983,0.197708,0.21602,0.212081,0.166819,0.192819,0.225864,0.17739,0.153112,0.131502,0.204504,0.179074,0.232337,0.24846,0.242621,0.246651,0.246561,0.237432
8  object16  SE3,0.245474,0.249377,0.20756,0.202779,0.184976,0.206716,0.223943,0.224884,0.224378,0.167369,0.196864,0.217356,0.238383,0.168288,0.155031,0.219638,0.172469,0.244115,0.248827,0.247272,0.23315,0.227066,0.233757,0.211113,0.208125,0.201082,0.20436,0.18254,0.198255,0.198042,0.216384,0.21247,0.167065,0.193131,0.226142,0.17767,0.153369,0.13172,0.204766,0.179317,0.232523,0.248532,0.242732,0.246758,0.24674,0.237735
9  object64  SE4,0.243817,0.247494,0.205463,0.201342,0.183072,0.204519,0.221389,0.222192,0.221634,0.165627,0.194889,0.21486,0.236117,0.166236,0.153105,0.217423,0.170691,0.242077,0.24703,0.245004,0.230491,0.224315,0.231094,0.209219,0.205818,0.198816,0.202873,0.180767,0.196003,0.195596,0.213721,0.209793,0.165095,0.190768,0.223664,0.175513,0.15145,0.130084,0.202491,0.177272,0.230356,0.246762,0.240842,0.244869,0.244518,0.23511
10  object256  SE5,0.244551,0.248118,0.206104,0.201904,0.183694,0.2052,0.222135,0.222938,0.222377,0.166204,0.195574,0.215609,0.236952,0.166854,0.153652,0.218142,0.171296,0.242835,0.247745,0.245791,0.23127,0.225064,0.231879,0.209895,0.206536,0.199466,0.203505,0.181362,0.19666,0.196276,0.214456,0.210501,0.165683,0.191449,0.224453,0.176149,0.152015,0.130562,0.203184,0.177902,0.231092,0.247457,0.241585,0.245626,0.2453,0.235893
11  object  t1,-1.617573,-0.979575,6.061291,4.858998,8.772305,6.863338,4.061188,2.539484,1.997759,10.99678,6.221895,3.793303,-1.991245,6.821267,11.849876,3.639173,9.869538,1.607373,-0.467401,-0.401152,2.078964,1.409271,2.101797,4.315431,4.966373,7.132957,6.498328,10.668044,8.436189,7.416491,4.168198,3.308295,10.652018,6.571167,3.731487,4.72852,10.489314,15.629414,5.20206,8.491381,3.404364,-0.082999,0.931365,-0.05908,0.869069,1.507785
12  object4  t2,-0.372819,0.312648,5.310886,5.088363,9.275815,7.201843,4.148391,2.792198,0.542634,12.310584,9.626353,7.020052,-1.411448,6.52572,12.511342,4.850037,11.818071,3.506887,1.482536,1.371343,2.061147,1.249679,1.256371,3.779524,3.801069,5.630977,6.479266,10.088449,8.31825,6.850288,3.355479,0.823112,12.754518,9.434561,4.483933,4.790062,10.761223,17.138893,7.58828,11.650005,5.803575,2.067728,2.909493,1.397754,1.12248,0.984042
13  object16  t3,-0.725949,0.287301,6.64212,5.425789,10.483133,8.336582,4.899925,4.109288,1.631941,12.822823,8.222677,4.213892,-1.152988,9.965285,13.768517,5.425501,12.147274,2.513278,0.840569,1.135314,2.527334,2.002939,1.874256,4.877409,5.984404,8.066284,6.778048,10.721963,9.153988,7.398425,3.850891,2.264065,13.198197,7.726099,3.80409,6.697719,12.9425,18.747936,7.135046,10.790475,4.085701,1.099984,1.965617,0.476377,0.764742,1.780531
14  object64  t4,-0.825865,0.556085,7.224971,6.089304,9.943121,7.396897,3.899293,2.026689,-0.342871,11.53204,6.411683,2.572079,-1.309444,12.082257,14.03286,5.1395,10.793316,1.641899,-0.122091,-0.621984,0.100214,-0.379351,1.43053,6.103219,6.04925,7.660695,6.828379,10.055337,7.48845,5.557441,2.101912,0.584709,10.47681,4.579918,1.776413,10.556537,13.497473,17.400927,6.536662,8.494347,3.314864,1.16708,0.889643,-0.195117,0.211985,2.103755
15  object256  t5,0.331001,1.459477,8.730785,6.56916,10.562337,8.108338,4.847479,2.848733,1.676215,10.667206,5.742076,2.881001,-1.199624,12.826243,13.032102,5.868595,10.428317,2.063701,0.684344,0.856982,0.906297,0.638291,2.733059,8.53008,8.692559,9.654071,7.116657,10.59596,8.666001,7.176199,3.509441,3.02063,9.948462,5.286637,3.542302,12.494757,13.695062,16.299498,6.876586,9.202857,3.386153,0.581709,1.314103,0.248508,1.20909,2.630059
16  object  p1,0.106067,0.327518,0,0.000001,0,0,0.000053,0.011249,0.046008,0,0,0.000157,0.046722,0,0,0.000287,0,0.108283,0.640342,0.688375,0.037871,0.159063,0.035817,0.000017,0.000001,0,0,0,0,0,0.000033,0.000972,0,0,0.000201,0.000003,0,0,0,0,0.000689,0.933733,0.351881,0.953115,0.385,0.131918
17  object4  p2,0.709384,0.754597,0,0,0,0,0.000036,0.005333,0.587513,0,0,0,0.15842,0,0,0.000001,0,0.000473,0.138506,0.170576,0.039542,0.211706,0.209268,0.000166,0.000153,0,0,0,0,0,0.000822,0.410645,0,0,0.000008,0.000002,0,0,0,0,0,0.038918,0.003699,0.162489,0.261925,0.325338
18  object16  p3,0.468057,0.773959,0,0,0,0,0.000001,0.000043,0.103001,0,0,0.000027,0.249179,0,0,0,0,0.012115,0.400794,0.256506,0.011644,0.045448,0.061182,0.000001,0,0,0,0,0,0,0.000125,0.02378,0,0,0.000151,0,0,0,0,0,0.000047,0.271602,0.049615,0.633916,0.444598,0.075287
19  object64  p4,0.409076,0.578303,0,0,0,0,0.000103,0.042954,0.731782,0,0,0.01025,0.190678,0,0,0,0,0.100918,0.902981,0.534102,0.920077,0.704467,0.152875,0,0,0,0,0,0,0,0.035806,0.558892,0,0.000005,0.075964,0,0,0,0,0,0.000949,0.243449,0.37388,0.845268,0.832224,0.035644
20  object256  p5,0.740743,0.144745,0,0,0,0,0.000001,0.004478,0.094003,0,0,0.004047,0.230571,0,0,0,0,0.039299,0.493906,0.391655,0.365007,0.52342,0.006384,0,0,0,0,0,0,0,0.000469,0.002586,0,0,0.000415,0,0,0,0,0,0.000736,0.560889,0.189104,0.803765,0.226903,0.008666
