1  object  b1,0.441149,0.617567,2.322917,2.096658,1.887305,1.100105,0.005636,0.173719,1.588625,1.703038,1.386394,0.819386,0.809333,1.150977,0.989637,0.49197,1.611525,0.361609,-0.435199,-0.003371,0.596842,1.211984,0.231787,1.38254,0.214145,1.618105,1.491408,2.194907,1.856609,1.575252,0.963393,1.683191,1.703739,1.402707,0.611967,1.321959,0.641272,1.444974,0.836203,1.610615,0.080709,-0.137058,0.803923,0.626319,0.780161,-0.069891
2  object4  b2,0.513431,0.621055,2.218204,2.214166,2.312823,1.517718,0.111444,0.139472,1.197519,1.79807,1.744243,0.97746,0.811285,0.764042,0.800315,0.306075,1.689165,0.561248,0.115859,0.574587,1.01918,1.608649,0.45154,1.238287,0.366577,1.492377,1.716029,2.274536,1.909604,1.583951,0.933849,1.484308,1.938488,1.754255,0.884259,0.947065,0.315549,1.355239,0.707998,1.883239,0.505535,0.679426,1.299931,0.81993,0.847622,-0.077935
3  object16  b3,0.344007,0.603575,2.282005,2.138976,2.135699,1.384311,0.044171,-0.003321,0.942837,1.5869,1.32317,0.643695,0.780384,1.013865,0.897055,0.404636,1.375854,0.044926,-0.581231,-0.087569,0.518546,1.116565,0.088167,1.340263,0.050992,1.433486,1.54295,2.119435,1.732319,1.35558,0.765846,0.984814,1.58236,1.243822,0.404871,1.060375,0.512088,1.240806,0.743256,1.49362,-0.066269,-0.081588,0.738478,0.45111,0.497692,-0.131889
4  object64  b4,0.402807,0.447263,2.194689,2.019259,2.06583,1.301075,0.035303,-0.069756,0.316203,1.371229,0.880869,0.261588,0.94678,1.24593,0.994321,0.320557,1.115056,-0.198856,-0.588771,-0.155231,0.108369,0.569637,0.34889,1.430915,-0.188741,1.551165,1.32136,1.873254,1.465397,1.118512,0.549024,0.680126,1.375524,0.771578,0.09246,1.317939,0.532413,1.257697,0.611575,1.210225,-0.047326,-0.042972,0.299935,0.210976,0.423023,0.083312
5  object256  b5,0.524,0.55337,2.085248,1.904827,1.779485,0.938911,-0.090944,-0.168272,0.62048,1.119613,0.455338,-0.116699,1.065343,1.352593,0.791192,-0.050871,0.893494,-0.219031,-0.363998,-0.202034,0.109955,0.558313,0.111113,1.678388,0.015721,1.584491,1.285616,1.74603,1.302163,1.08942,0.527502,0.750858,1.093041,0.55637,0.026994,1.482234,0.580759,0.976854,0.246554,0.993314,-0.19499,0.059833,0.249028,-0.011005,0.2174,0.0328
6  object  SE1,0.218501,0.240012,0.135368,0.153069,0.148321,0.201817,0.21275,0.1894,0.170393,0.200987,0.209168,0.215899,0.206683,0.19761,0.233724,0.247016,0.208182,0.242379,0.236455,0.240608,0.234733,0.209253,0.224326,0.198318,0.242583,0.190376,0.196359,0.15061,0.179186,0.187006,0.18054,0.159749,0.196579,0.199935,0.227273,0.202567,0.206109,0.201757,0.241266,0.203723,0.242391,0.244013,0.232405,0.238966,0.238105,0.232454
7  object4  SE2,0.215422,0.23744,0.133476,0.151031,0.146224,0.199169,0.209805,0.186685,0.167952,0.198642,0.206606,0.2132,0.203751,0.195272,0.231044,0.244603,0.205891,0.23986,0.23438,0.238947,0.232461,0.206745,0.221475,0.195973,0.239544,0.188226,0.1943,0.148643,0.17688,0.184562,0.17796,0.157467,0.194128,0.19742,0.224436,0.20009,0.203574,0.199141,0.238779,0.201299,0.239579,0.241329,0.22976,0.236186,0.235248,0.230016
8  object16  SE3,0.214887,0.236985,0.133177,0.150709,0.145905,0.198779,0.209374,0.186294,0.167605,0.198209,0.206188,0.212823,0.203277,0.195,0.230532,0.244116,0.205472,0.239391,0.234009,0.238603,0.232058,0.206385,0.221069,0.195646,0.239004,0.187928,0.19399,0.148377,0.176563,0.184242,0.177593,0.15715,0.193712,0.197059,0.224001,0.199753,0.203278,0.198759,0.238287,0.200864,0.239079,0.24083,0.229275,0.235685,0.23473,0.229668
9  object64  SE4,0.217433,0.239176,0.134718,0.152375,0.147598,0.20091,0.211736,0.18846,0.169548,0.200218,0.208307,0.214972,0.205672,0.196794,0.232849,0.246268,0.20744,0.241575,0.2358,0.240161,0.234005,0.208396,0.223349,0.197515,0.241567,0.18964,0.195666,0.149931,0.178392,0.186161,0.179646,0.158959,0.195757,0.199074,0.22631,0.201715,0.205224,0.200862,0.240481,0.202923,0.241466,0.243146,0.231542,0.238053,0.237161,0.231626
10  object256  SE5,0.217882,0.239438,0.134969,0.152633,0.147878,0.201246,0.212122,0.188826,0.169877,0.200479,0.20861,0.215313,0.206073,0.197104,0.23315,0.246483,0.207676,0.241815,0.235977,0.240194,0.234217,0.208706,0.223709,0.197807,0.241935,0.189906,0.195903,0.150185,0.178687,0.186479,0.179993,0.159265,0.19605,0.199389,0.226657,0.202029,0.205561,0.201192,0.240719,0.203198,0.241776,0.243422,0.231826,0.238359,0.23749,0.231917
