1  object  b1,2.205994,2.199385,2.379575,2.336779,2.136172,2.126173,1.967318,1.467349,0.253015,2.264854,2.256203,2.084098,1.89603,1.282996,2.073607,1.833066,2.238689,1.770586,1.032423,0.219663,0.127619,0.235653,0.478506,0.186015,0.02586,0.835878,1.964978,2.273341,2.185319,2.168898,1.831293,1.286209,2.111341,2.151816,2.067018,0.70863,1.113503,1.690745,1.998382,2.068413,1.844546,0.525302,0.749491,0.944433,1.156592,0.406355
2  object4  b2,1.332241,1.575796,2.441531,2.550348,2.326839,2.203223,2.009797,1.677943,0.021707,2.403967,2.443304,2.378414,1.238338,0.97022,1.819802,1.951885,2.443582,1.917126,1.183168,0.647658,0.888439,0.896379,0.463958,0.209137,-0.021058,0.632537,1.8876,2.523475,2.406503,2.22316,1.939121,1.014103,2.261549,2.409851,2.372397,0.580948,1.069661,1.476464,2.244254,2.410339,2.161488,0.577644,1.142259,1.401444,1.702358,0.251473
3  object16  b3,1.542642,1.730266,2.563241,2.545606,2.260108,2.085469,1.73308,1.429914,0.174874,2.346786,2.310801,2.045358,1.468346,0.930169,1.897421,2.246045,2.404933,1.744099,1.142732,0.863437,0.833893,0.805321,0.867375,0.196219,0.174818,0.9048,2.16697,2.587378,2.338413,2.071616,1.720465,0.703505,2.1958,2.218956,2.02021,0.590132,1.059559,1.684806,2.374547,2.397268,2.103403,0.739416,1.242796,1.388691,1.530649,0.282538
4  object64  b4,2.011435,1.980834,2.436844,2.376846,2.078423,1.788931,1.305441,0.97965,-0.16422,2.033926,1.881388,1.46889,1.807038,1.357503,1.959869,2.080751,2.023999,1.240914,0.371125,0.089608,0.012315,0.089331,0.510089,0.377669,0.325875,1.184613,2.055085,2.387543,2.055379,1.826857,1.342941,0.566532,2.125862,1.821312,1.521442,0.822765,1.357656,1.813527,2.473476,2.218043,1.769546,0.174092,0.399247,0.57719,0.752296,0.123983
5  object256  b5,2.38471,2.213445,2.194214,2.150688,1.911655,1.602432,1.171462,0.677755,-0.183803,1.666602,1.546475,1.10815,2.075304,1.728707,1.888621,1.839034,1.574257,1.010322,0.293907,-0.104962,-0.029827,0.16071,0.410001,0.299134,0.268166,1.176345,2.028344,2.15441,1.915804,1.768712,1.37699,0.668772,1.901745,1.537093,1.197765,0.677184,1.444274,1.95743,2.403039,1.834357,1.507313,0.237023,0.320022,0.548734,0.675399,0.698183
6  object  SE1,0.167774,0.169269,0.137786,0.146608,0.166925,0.168568,0.16907,0.178841,0.168734,0.140216,0.150359,0.169153,0.172188,0.175177,0.146928,0.156488,0.133976,0.191145,0.22231,0.232781,0.215029,0.196782,0.193699,0.175462,0.183477,0.194349,0.147416,0.140941,0.160434,0.168626,0.176737,0.167872,0.147434,0.152051,0.164312,0.182018,0.171161,0.168748,0.125038,0.134232,0.170171,0.232337,0.225164,0.216875,0.204865,0.217428
7  object4  SE2,0.165772,0.167107,0.135898,0.144685,0.164673,0.166294,0.166712,0.176294,0.166275,0.138357,0.148358,0.167013,0.170194,0.173152,0.144987,0.154482,0.132176,0.188908,0.219643,0.229995,0.212123,0.194057,0.19091,0.172856,0.180783,0.191817,0.1456,0.139168,0.158301,0.166361,0.174318,0.165439,0.145511,0.150146,0.16228,0.179513,0.168795,0.166602,0.123347,0.132425,0.16807,0.229577,0.222995,0.21474,0.202527,0.214504
8  object16  SE3,0.165488,0.166777,0.135577,0.144352,0.164299,0.16594,0.166368,0.175916,0.165919,0.138047,0.148035,0.166677,0.169965,0.172964,0.144747,0.154174,0.131875,0.188541,0.219215,0.229545,0.21169,0.193679,0.190493,0.17245,0.180374,0.191497,0.1454,0.138896,0.157948,0.166003,0.17397,0.165088,0.145224,0.149882,0.161957,0.179186,0.168482,0.166333,0.123068,0.132126,0.167735,0.22914,0.222651,0.21442,0.202212,0.214077
9  object64  SE4,0.167089,0.168533,0.13714,0.145957,0.166158,0.167791,0.168257,0.177961,0.16788,0.139586,0.149678,0.168428,0.171491,0.174459,0.146254,0.155806,0.133364,0.190398,0.221414,0.231846,0.214032,0.19584,0.192734,0.174554,0.182541,0.19347,0.14678,0.140339,0.159709,0.167853,0.175904,0.167028,0.146777,0.151397,0.163626,0.181149,0.170341,0.168003,0.124462,0.133617,0.169462,0.231409,0.224447,0.216158,0.204061,0.216424
10  object256  SE5,0.167337,0.168801,0.137394,0.146202,0.16645,0.168082,0.168568,0.178303,0.168217,0.139822,0.149932,0.168689,0.171757,0.174742,0.14651,0.156054,0.133597,0.190654,0.221727,0.232172,0.214407,0.1962,0.193112,0.174926,0.182916,0.193802,0.147024,0.140556,0.15998,0.168143,0.17622,0.16736,0.14702,0.151638,0.16387,0.181481,0.170655,0.168284,0.124681,0.13385,0.169714,0.231733,0.224677,0.2164,0.204355,0.216801
