1  object  b1	2.213142	2.1251	2.409979	2.289863	2.135744	1.90994	0.852005	-0.028143	0.213671	1.412862	1.184282	0.285505	2.027202	2.007093	0.976464	2.028476	1.866609	1.15882	0.832854	0.994039	0.721795	0.662318	0.579504	0.934937	1.553152	2.296076	2.388634	2.53688	2.221386	1.963998	1.410922	1.036995	1.849966	1.813993	1.585961	1.600491	1.149628	0.917008	1.863236	2.316637	1.307267	1.169127	1.026943	0.872571	0.607737	0.956708
2  object4  b2	2.254561	2.157762	2.281047	2.219184	2.112292	1.840708	0.867315	-0.069717	-0.177293	1.340872	1.183994	0.572638	2.153657	1.809035	0.845462	1.883308	1.765043	0.945501	0.716344	0.830147	0.465179	0.552122	0.37508	0.634619	1.179046	2.106363	2.373073	2.555151	2.181968	1.860069	1.240192	0.905953	1.708868	1.87074	1.667106	1.444788	0.963704	0.693907	1.834485	2.219143	1.393712	1.123814	0.825252	0.726971	0.470047	0.838594
3  object16  b3	2.40643	2.386428	2.511593	2.361011	2.257652	1.933628	0.821261	-0.041485	0.123235	1.320361	0.964811	0.375491	2.234786	2.292503	1.178847	2.134755	1.830191	1.120475	0.722018	0.755596	0.405303	0.455959	0.395329	0.93457	1.549014	2.44364	2.605405	2.645024	2.275742	1.856334	1.150102	0.979672	1.898293	1.740749	1.316411	1.83272	1.367916	1.092429	2.163608	2.335562	1.420432	0.993711	0.692442	0.522851	0.2994	0.890326
4  object64  b4	2.5709	2.461972	2.513482	2.424894	2.125941	1.702013	0.68347	-0.152065	-0.08306	1.346462	0.638966	0.07658	2.32823	2.451846	1.647883	2.307909	1.946654	0.895903	0.5593	0.61166	0.389625	0.36264	0.566436	1.095543	1.7043	2.556089	2.577034	2.499892	2.074656	1.767133	1.065698	0.671989	1.712937	1.431352	0.836317	1.975	1.64701	1.104074	2.09366	2.071197	1.158662	0.982781	0.711747	0.566593	0.251815	1.052314
5  object256  b5	2.652354	2.293699	2.322252	2.243005	1.836822	1.355838	0.77819	-0.137732	-0.049544	1.372973	0.315021	-0.231699	2.383382	2.711656	2.047211	2.320922	1.976188	0.843218	0.639973	0.507808	0.270366	0.173437	0.273494	1.107984	1.690303	2.515263	2.408514	2.306295	1.933071	1.646479	1.180724	0.748236	1.544291	1.083207	0.462546	2.370022	2.068627	1.359854	2.00267	1.874079	1.091552	0.900405	0.570032	0.375604	0.145413	1.164521
6  object  SE1	0.092305	0.115335	0.101416	0.124804	0.135427	0.155334	0.17653	0.1749	0.155646	0.188746	0.191804	0.206576	0.114018	0.112647	0.189393	0.132552	0.157499	0.199675	0.209188	0.2134	0.213096	0.197651	0.189188	0.193053	0.183789	0.107557	0.111948	0.104632	0.134228	0.147192	0.16184	0.147701	0.166627	0.171272	0.182659	0.151579	0.17425	0.207638	0.153901	0.133961	0.19122	0.20509	0.217748	0.217595	0.210233	0.209819
7  object4  SE2	0.092422	0.115477	0.101476	0.12488	0.135453	0.155363	0.176493	0.174868	0.155622	0.188968	0.191865	0.206603	0.114173	0.112721	0.189405	0.132668	0.157662	0.199954	0.209482	0.213629	0.213345	0.197803	0.189249	0.193194	0.1838	0.107599	0.111983	0.104716	0.134301	0.147224	0.161845	0.147623	0.166785	0.171343	0.182718	0.15172	0.174195	0.207708	0.154015	0.134081	0.191491	0.205568	0.218181	0.217715	0.210349	0.209898
8  object16  SE3	0.092552	0.115634	0.101641	0.125075	0.135688	0.155632	0.176822	0.175195	0.155915	0.189214	0.192184	0.206954	0.114323	0.1129	0.18971	0.132861	0.157878	0.2002	0.20974	0.213911	0.213626	0.198105	0.189571	0.193488	0.184106	0.10778	0.112165	0.104873	0.134519	0.147481	0.162138	0.147912	0.167014	0.171618	0.183019	0.151934	0.174514	0.208027	0.154241	0.134273	0.191723	0.205733	0.218381	0.218039	0.210676	0.210223
9  object64  SE4	0.091479	0.114312	0.100378	0.123554	0.133965	0.153655	0.174519	0.172906	0.153867	0.18709	0.189788	0.204358	0.113035	0.111514	0.187409	0.131295	0.156067	0.198011	0.207448	0.211497	0.211218	0.195716	0.187177	0.19116	0.181834	0.106426	0.11078	0.103618	0.132854	0.145601	0.16004	0.145958	0.165097	0.169512	0.180748	0.150168	0.172282	0.205532	0.152417	0.132699	0.189639	0.203876	0.216283	0.215452	0.208122	0.207693
10  object256  SE5	0.091849	0.114763	0.100771	0.124025	0.134471	0.154235	0.175163	0.17355	0.154446	0.187803	0.1905	0.20511	0.113483	0.111947	0.188058	0.131798	0.156662	0.198774	0.208248	0.212293	0.212026	0.196474	0.187893	0.191894	0.182479	0.106834	0.11119	0.104018	0.133367	0.146156	0.160646	0.146487	0.165718	0.170144	0.181423	0.150739	0.172892	0.206265	0.15299	0.133206	0.190368	0.204656	0.2171	0.216238	0.208904	0.208443
11  object  t1	23.976454	18.425428	23.763399	18.34774	15.770478	12.295678	4.826404	-0.160911	1.372799	7.48553	6.174423	1.382086	17.779589	17.817625	5.155745	15.303275	11.851551	5.80354	3.981359	4.658111	3.38718	3.35095	3.063116	4.842908	8.450718	21.347586	21.336998	24.24575	16.549393	13.343071	8.718022	7.020883	11.102466	10.591282	8.682611	10.558804	6.597572	4.41638	12.106726	17.293396	6.836453	5.700541	4.716192	4.010075	2.890782	4.559686
12  object4  t2	24.394144	18.685583	22.478775	17.770475	15.594244	11.847803	4.914163	-0.398683	-1.139254	7.095766	6.170963	2.771682	18.863155	16.048857	4.46378	14.195626	11.195078	4.728598	3.419595	3.885927	2.180405	2.791272	1.981941	3.284873	6.414814	19.576014	21.191422	24.400755	16.246803	12.634237	7.662825	6.136944	10.2459	10.918088	9.123919	9.52271	5.532332	3.340792	11.911064	16.550795	7.278229	5.466876	3.782426	3.339096	2.234604	3.99524
13  object16  t3	26.000919	20.637722	24.710398	18.876694	16.638588	12.424357	4.64457	-0.236794	0.790404	6.978127	5.020247	1.814363	19.547976	20.305685	6.21394	16.067591	11.592452	5.596781	3.44245	3.532299	1.897255	2.301601	2.085389	4.830113	8.413711	22.672533	23.228243	25.221109	16.917631	12.58696	7.093356	6.623333	11.366084	10.143184	7.19277	12.062596	7.838444	5.251369	14.027454	17.394102	7.408768	4.830096	3.170795	2.397973	1.42114	4.235159
14  object64  t4	28.103615	21.537222	25.040224	19.626236	15.869426	11.076825	3.916318	-0.879468	-0.539819	7.196885	3.36674	0.374731	20.59738	21.986971	8.792988	17.578062	12.473186	4.524517	2.696095	2.892053	1.84466	1.852891	3.026198	5.731034	9.372849	24.017641	23.262541	24.125967	15.616053	12.136834	6.658951	4.603976	10.375312	8.443935	4.626966	13.151957	9.559959	5.371776	13.736347	15.608194	6.109822	4.820486	3.290811	2.62979	1.209937	5.066672
15  object256  t5	28.877466	19.986391	23.044954	18.085056	13.659633	8.79073	4.442658	-0.793618	-0.320782	7.310699	1.653653	-1.129636	21.002083	24.222574	10.886036	17.60964	12.614328	4.242086	3.073122	2.392016	1.275156	0.882748	1.455583	5.773948	9.262976	23.543552	21.66123	22.17202	14.49436	11.26523	7.34985	5.107872	9.318812	6.366395	2.549551	15.722657	11.96484	6.592741	13.090209	14.069007	5.733905	4.399615	2.625668	1.736998	0.696074	5.586767
16  object  p1	0	0	0	0	0	0	0.000002	0.872301	0.170114	0	0	0.167252	0	0	0	0	0	0	0.000073	0.000004	0.000733	0.000835	0.002248	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000011	0	0	0	0	0.000003	0.000065	0.003925	0.000006
17  object4  p2	0	0	0	0	0	0	0.000001	0.690219	0.254864	0	0	0.005678	0	0	0.000009	0	0	0.000003	0.000652	0.000109	0.029456	0.005348	0.047755	0.001055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000866	0	0	0	0	0.000164	0.000871	0.02566	0.000069
18  object16  p3	0	0	0	0	0	0	0.000004	0.812868	0.42947	0	0.000001	0.069915	0	0	0	0	0	0	0.0006	0.00043	0.058077	0.021559	0.037282	0.000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000002	0.001566	0.016665	0.155582	0.000025
19  object64  p4	0	0	0	0	0	0	0.000096	0.379363	0.589445	0	0.000789	0.707935	0	0	0	0	0	0.000007	0.007131	0.003909	0.065377	0.064187	0.002539	0	0	0	0	0	0	0	0	0.000005	0	0	0.000004	0	0	0	0	0	0	0.000002	0.001033	0.008673	0.226584	0
20  object256  p5	0	0	0	0	0	0	0.00001	0.427615	0.74842	0	0.098508	0.258897	0	0	0	0	0	0.000024	0.002175	0.016937	0.202545	0.377591	0.145817	0	0	0	0	0	0	0	0	0	0	0	0.010932	0	0	0	0	0	0	0.000012	0.008778	0.082692	0.486551	0
