Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID,Pathway
0.491346831,Dorsal_L,1,Semantic,Components,Semantic_sub11,Dorsal
0.926632687,Dorsal_L,1,Semantic,Components,Semantic_sub12,Dorsal
-0.414110536,Dorsal_L,2,Semantic,Components,Semantic_sub1,Dorsal
-0.55838621,Dorsal_L,2,Semantic,Components,Semantic_sub2,Dorsal
-0.551305536,Dorsal_L,2,Semantic,Components,Semantic_sub3,Dorsal
0.034695807,Dorsal_L,2,Semantic,Components,Semantic_sub4,Dorsal
-0.680874471,Dorsal_L,2,Semantic,Components,Semantic_sub5,Dorsal
-0.585080003,Dorsal_L,2,Semantic,Components,Semantic_sub6,Dorsal
-0.834459343,Dorsal_L,2,Semantic,Components,Semantic_sub7,Dorsal
-0.743118862,Dorsal_L,2,Semantic,Components,Semantic_sub8,Dorsal
-0.759210145,Dorsal_L,2,Semantic,Components,Semantic_sub9,Dorsal
-0.941415022,Dorsal_L,2,Semantic,Components,Semantic_sub10,Dorsal
-0.582442661,Dorsal_L,2,Semantic,Components,Semantic_sub11,Dorsal
-0.845102889,Dorsal_L,2,Semantic,Components,Semantic_sub12,Dorsal
0.774918364,Ventral_R,1,Novel,Components,Novel_sub1,Ventral
0.750332107,Ventral_R,1,Novel,Components,Novel_sub2,Ventral
1.111930689,Ventral_R,1,Novel,Components,Novel_sub3,Ventral
0.707002738,Ventral_R,1,Novel,Components,Novel_sub4,Ventral
0.668698669,Ventral_R,1,Novel,Components,Novel_sub5,Ventral
0.814002845,Ventral_R,1,Novel,Components,Novel_sub6,Ventral
0.500121623,Ventral_R,1,Novel,Components,Novel_sub7,Ventral
0.64418517,Ventral_R,1,Novel,Components,Novel_sub8,Ventral
0.753949312,Ventral_R,1,Novel,Components,Novel_sub9,Ventral
0.811957729,Ventral_R,1,Novel,Components,Novel_sub10,Ventral
0.793768019,Ventral_R,1,Novel,Components,Novel_sub11,Ventral
0.882751658,Ventral_R,1,Novel,Components,Novel_sub12,Ventral
-0.463602626,Ventral_R,2,Novel,Components,Novel_sub1,Ventral
-0.391904467,Ventral_R,2,Novel,Components,Novel_sub2,Ventral
-0.417363571,Ventral_R,2,Novel,Components,Novel_sub3,Ventral
-0.362107459,Ventral_R,2,Novel,Components,Novel_sub4,Ventral
-0.428889569,Ventral_R,2,Novel,Components,Novel_sub5,Ventral
-0.432499027,Ventral_R,2,Novel,Components,Novel_sub6,Ventral
-0.396283112,Ventral_R,2,Novel,Components,Novel_sub7,Ventral
-0.594432024,Ventral_R,2,Novel,Components,Novel_sub8,Ventral
-0.501580657,Ventral_R,2,Novel,Components,Novel_sub9,Ventral
-0.228522341,Ventral_R,2,Novel,Components,Novel_sub10,Ventral
-0.572444247,Ventral_R,2,Novel,Components,Novel_sub11,Ventral
-0.174207928,Ventral_R,2,Novel,Components,Novel_sub12,Ventral
0.558230547,Ventral_L,1,Novel,Components,Novel_sub1,Ventral
0.676634092,Ventral_L,1,Novel,Components,Novel_sub2,Ventral
1.056206276,Ventral_L,1,Novel,Components,Novel_sub3,Ventral
0.708192282,Ventral_L,1,Novel,Components,Novel_sub4,Ventral
0.639552685,Ventral_L,1,Novel,Components,Novel_sub5,Ventral
0.870558007,Ventral_L,1,Novel,Components,Novel_sub6,Ventral
0.527515519,Ventral_L,1,Novel,Components,Novel_sub7,Ventral
0.574474616,Ventral_L,1,Novel,Components,Novel_sub8,Ventral
0.92562615,Ventral_L,1,Novel,Components,Novel_sub9,Ventral
0.634944105,Ventral_L,1,Novel,Components,Novel_sub10,Ventral
0.904772514,Ventral_L,1,Novel,Components,Novel_sub11,Ventral
0.620511764,Ventral_L,1,Novel,Components,Novel_sub12,Ventral
-0.295294935,Ventral_L,2,Novel,Components,Novel_sub1,Ventral
-0.549220262,Ventral_L,2,Novel,Components,Novel_sub2,Ventral
-0.470842439,Ventral_L,2,Novel,Components,Novel_sub3,Ventral
-0.287587789,Ventral_L,2,Novel,Components,Novel_sub4,Ventral
-0.513028328,Ventral_L,2,Novel,Components,Novel_sub5,Ventral
-0.714180669,Ventral_L,2,Novel,Components,Novel_sub6,Ventral
-0.354518656,Ventral_L,2,Novel,Components,Novel_sub7,Ventral
-0.752850859,Ventral_L,2,Novel,Components,Novel_sub8,Ventral
-0.547673371,Ventral_L,2,Novel,Components,Novel_sub9,Ventral
-0.239911298,Ventral_L,2,Novel,Components,Novel_sub10,Ventral
-0.545608505,Ventral_L,2,Novel,Components,Novel_sub11,Ventral
-0.123855091,Ventral_L,2,Novel,Components,Novel_sub12,Ventral
0.877347197,Dorsal_R,1,Novel,Components,Novel_sub1,Dorsal
0.807581488,Dorsal_R,1,Novel,Components,Novel_sub2,Dorsal
0.989704221,Dorsal_R,1,Novel,Components,Novel_sub3,Dorsal
1.305009914,Dorsal_R,1,Novel,Components,Novel_sub4,Dorsal
0.743702349,Dorsal_R,1,Novel,Components,Novel_sub5,Dorsal
0.489817866,Dorsal_R,1,Novel,Components,Novel_sub6,Dorsal
0.889367727,Dorsal_R,1,Novel,Components,Novel_sub7,Dorsal
0.659927867,Dorsal_R,1,Novel,Components,Novel_sub8,Dorsal
1.032280811,Dorsal_R,1,Novel,Components,Novel_sub9,Dorsal
1.394903119,Dorsal_R,1,Novel,Components,Novel_sub10,Dorsal
1.113042164,Dorsal_R,1,Novel,Components,Novel_sub11,Dorsal
0.772779278,Dorsal_R,1,Novel,Components,Novel_sub12,Dorsal
-0.43108606,Dorsal_R,2,Novel,Components,Novel_sub1,Dorsal
-0.277671914,Dorsal_R,2,Novel,Components,Novel_sub2,Dorsal
-0.553085244,Dorsal_R,2,Novel,Components,Novel_sub3,Dorsal
-0.384746471,Dorsal_R,2,Novel,Components,Novel_sub4,Dorsal
-0.670290427,Dorsal_R,2,Novel,Components,Novel_sub5,Dorsal
-0.554744811,Dorsal_R,2,Novel,Components,Novel_sub6,Dorsal
-0.281917138,Dorsal_R,2,Novel,Components,Novel_sub7,Dorsal
-0.600647195,Dorsal_R,2,Novel,Components,Novel_sub8,Dorsal
-0.347738447,Dorsal_R,2,Novel,Components,Novel_sub9,Dorsal
-0.030516473,Dorsal_R,2,Novel,Components,Novel_sub10,Dorsal
-0.493997113,Dorsal_R,2,Novel,Components,Novel_sub11,Dorsal
-0.724542547,Dorsal_R,2,Novel,Components,Novel_sub12,Dorsal
0.778254908,Dorsal_L,1,Novel,Components,Novel_sub1,Dorsal
0.667938261,Dorsal_L,1,Novel,Components,Novel_sub2,Dorsal
0.953166549,Dorsal_L,1,Novel,Components,Novel_sub3,Dorsal
-0.384940189,Dorsal_L,1,Novel,Components,Novel_sub4,Dorsal
0.683030508,Dorsal_L,1,Novel,Components,Novel_sub5,Dorsal
0.815988417,Dorsal_L,1,Novel,Components,Novel_sub6,Dorsal
0.84289099,Dorsal_L,1,Novel,Components,Novel_sub7,Dorsal
0.65243558,Dorsal_L,1,Novel,Components,Novel_sub8,Dorsal
0.835149466,Dorsal_L,1,Novel,Components,Novel_sub9,Dorsal
1.14795211,Dorsal_L,1,Novel,Components,Novel_sub10,Dorsal
0.901045796,Dorsal_L,1,Novel,Components,Novel_sub11,Dorsal
0.772911102,Dorsal_L,1,Novel,Components,Novel_sub12,Dorsal
-0.375822603,Dorsal_L,2,Novel,Components,Novel_sub1,Dorsal
-0.368842202,Dorsal_L,2,Novel,Components,Novel_sub2,Dorsal
-0.199564474,Dorsal_L,2,Novel,Components,Novel_sub3,Dorsal
0.36170029,Dorsal_L,2,Novel,Components,Novel_sub4,Dorsal
-0.269043627,Dorsal_L,2,Novel,Components,Novel_sub5,Dorsal
0.054573184,Dorsal_L,2,Novel,Components,Novel_sub6,Dorsal
-0.405090759,Dorsal_L,2,Novel,Components,Novel_sub7,Dorsal
-0.494305564,Dorsal_L,2,Novel,Components,Novel_sub8,Dorsal
-0.436932402,Dorsal_L,2,Novel,Components,Novel_sub9,Dorsal
-0.171923408,Dorsal_L,2,Novel,Components,Novel_sub10,Dorsal
-0.271043507,Dorsal_L,2,Novel,Components,Novel_sub11,Dorsal
-0.509606456,Dorsal_L,2,Novel,Components,Novel_sub12,Dorsal
0.131962589,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub1,Ventral
0.112006311,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub2,Ventral
0.105529954,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub3,Ventral
0.092969373,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub4,Ventral
0.142801208,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub5,Ventral
0.104936918,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub6,Ventral
0.162695993,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub7,Ventral
0.133279713,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub8,Ventral
0.126691228,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub9,Ventral
0.107688506,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub10,Ventral
0.126416898,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub11,Ventral
0.177747358,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub12,Ventral
0.151969121,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub1,Ventral
0.13421442,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub2,Ventral
0.148785729,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub3,Ventral
0.128825938,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub4,Ventral
0.144466404,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub5,Ventral
0.105788384,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub6,Ventral
0.163847585,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub7,Ventral
0.151464582,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub8,Ventral
0.128267307,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub9,Ventral
0.134621021,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub10,Ventral
0.125913435,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub11,Ventral
0.224178503,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub12,Ventral
0.119338361,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub1,Ventral
0.110759918,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub2,Ventral
0.127377945,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub3,Ventral
0.136211764,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub4,Ventral
0.130005702,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub5,Ventral
0.145599545,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub6,Ventral
0.139668889,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub7,Ventral
0.180187948,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub8,Ventral
0.113410747,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub9,Ventral
0.134032337,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub10,Ventral
