Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_Full,ID,Hemi,Pathway
-0.154024712,Dorsal_R,2,Semantic,Components,Semantic_sub2,sub2,Right,Dorsal
-0.78114969,Dorsal_R,2,Semantic,Components,Semantic_sub3,sub3,Right,Dorsal
-0.630793459,Dorsal_R,2,Semantic,Components,Semantic_sub4,sub4,Right,Dorsal
-0.962207659,Dorsal_R,2,Semantic,Components,Semantic_sub5,sub5,Right,Dorsal
-0.896936644,Dorsal_R,2,Semantic,Components,Semantic_sub6,sub6,Right,Dorsal
-1.010892607,Dorsal_R,2,Semantic,Components,Semantic_sub7,sub7,Right,Dorsal
-0.748867397,Dorsal_R,2,Semantic,Components,Semantic_sub8,sub8,Right,Dorsal
-0.672338001,Dorsal_R,2,Semantic,Components,Semantic_sub9,sub9,Right,Dorsal
-0.800062062,Dorsal_R,2,Semantic,Components,Semantic_sub10,sub10,Right,Dorsal
-0.491553728,Dorsal_R,2,Semantic,Components,Semantic_sub11,sub11,Right,Dorsal
-0.846589506,Dorsal_R,2,Semantic,Components,Semantic_sub12,sub12,Right,Dorsal
0.933078875,Dorsal_L,1,Semantic,Components,Semantic_sub1,sub1,Left,Dorsal
1.070107843,Dorsal_L,1,Semantic,Components,Semantic_sub2,sub2,Left,Dorsal
0.976400136,Dorsal_L,1,Semantic,Components,Semantic_sub3,sub3,Left,Dorsal
-0.425332578,Dorsal_L,1,Semantic,Components,Semantic_sub4,sub4,Left,Dorsal
0.928796557,Dorsal_L,1,Semantic,Components,Semantic_sub5,sub5,Left,Dorsal
0.830854907,Dorsal_L,1,Semantic,Components,Semantic_sub6,sub6,Left,Dorsal
0.994699792,Dorsal_L,1,Semantic,Components,Semantic_sub7,sub7,Left,Dorsal
0.77994647,Dorsal_L,1,Semantic,Components,Semantic_sub8,sub8,Left,Dorsal
0.462318173,Dorsal_L,1,Semantic,Components,Semantic_sub9,sub9,Left,Dorsal
1.020231552,Dorsal_L,1,Semantic,Components,Semantic_sub10,sub10,Left,Dorsal
0.491346831,Dorsal_L,1,Semantic,Components,Semantic_sub11,sub11,Left,Dorsal
0.926632687,Dorsal_L,1,Semantic,Components,Semantic_sub12,sub12,Left,Dorsal
-0.414110536,Dorsal_L,2,Semantic,Components,Semantic_sub1,sub1,Left,Dorsal
-0.55838621,Dorsal_L,2,Semantic,Components,Semantic_sub2,sub2,Left,Dorsal
-0.551305536,Dorsal_L,2,Semantic,Components,Semantic_sub3,sub3,Left,Dorsal
0.034695807,Dorsal_L,2,Semantic,Components,Semantic_sub4,sub4,Left,Dorsal
-0.680874471,Dorsal_L,2,Semantic,Components,Semantic_sub5,sub5,Left,Dorsal
-0.585080003,Dorsal_L,2,Semantic,Components,Semantic_sub6,sub6,Left,Dorsal
-0.834459343,Dorsal_L,2,Semantic,Components,Semantic_sub7,sub7,Left,Dorsal
-0.743118862,Dorsal_L,2,Semantic,Components,Semantic_sub8,sub8,Left,Dorsal
-0.759210145,Dorsal_L,2,Semantic,Components,Semantic_sub9,sub9,Left,Dorsal
-0.941415022,Dorsal_L,2,Semantic,Components,Semantic_sub10,sub10,Left,Dorsal
-0.582442661,Dorsal_L,2,Semantic,Components,Semantic_sub11,sub11,Left,Dorsal
-0.845102889,Dorsal_L,2,Semantic,Components,Semantic_sub12,sub12,Left,Dorsal
0.774918364,Ventral_R,1,Novel,Components,Novel_sub1,sub1,Right,Ventral
0.750332107,Ventral_R,1,Novel,Components,Novel_sub2,sub2,Right,Ventral
1.111930689,Ventral_R,1,Novel,Components,Novel_sub3,sub3,Right,Ventral
0.707002738,Ventral_R,1,Novel,Components,Novel_sub4,sub4,Right,Ventral
0.668698669,Ventral_R,1,Novel,Components,Novel_sub5,sub5,Right,Ventral
0.814002845,Ventral_R,1,Novel,Components,Novel_sub6,sub6,Right,Ventral
0.500121623,Ventral_R,1,Novel,Components,Novel_sub7,sub7,Right,Ventral
0.64418517,Ventral_R,1,Novel,Components,Novel_sub8,sub8,Right,Ventral
0.753949312,Ventral_R,1,Novel,Components,Novel_sub9,sub9,Right,Ventral
0.811957729,Ventral_R,1,Novel,Components,Novel_sub10,sub10,Right,Ventral
0.793768019,Ventral_R,1,Novel,Components,Novel_sub11,sub11,Right,Ventral
0.882751658,Ventral_R,1,Novel,Components,Novel_sub12,sub12,Right,Ventral
-0.463602626,Ventral_R,2,Novel,Components,Novel_sub1,sub1,Right,Ventral
-0.391904467,Ventral_R,2,Novel,Components,Novel_sub2,sub2,Right,Ventral
-0.417363571,Ventral_R,2,Novel,Components,Novel_sub3,sub3,Right,Ventral
-0.362107459,Ventral_R,2,Novel,Components,Novel_sub4,sub4,Right,Ventral
-0.428889569,Ventral_R,2,Novel,Components,Novel_sub5,sub5,Right,Ventral
-0.432499027,Ventral_R,2,Novel,Components,Novel_sub6,sub6,Right,Ventral
-0.396283112,Ventral_R,2,Novel,Components,Novel_sub7,sub7,Right,Ventral
-0.594432024,Ventral_R,2,Novel,Components,Novel_sub8,sub8,Right,Ventral
-0.501580657,Ventral_R,2,Novel,Components,Novel_sub9,sub9,Right,Ventral
