Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_FULL,Pathway,Hemi,ID
0.121047807,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal,Right,sub6
0.175100905,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal,Right,sub7
0.128108827,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal,Right,sub8
0.087796179,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal,Right,sub9
0.110759646,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal,Right,sub10
0.08771552,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal,Right,sub11
0.181847711,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal,Right,sub12
0.142086863,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal,Right,sub1
0.118338436,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal,Right,sub2
0.132020811,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal,Right,sub3
0.08898109,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal,Right,sub4
0.132379529,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal,Right,sub5
0.107000162,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal,Right,sub6
0.133812228,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal,Right,sub7
0.131929044,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal,Right,sub8
0.089771731,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal,Right,sub9
0.10027683,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal,Right,sub10
0.102802639,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal,Right,sub11
0.160195313,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal,Right,sub12
0.10931989,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal,Left,sub1
0.090785088,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal,Left,sub2
0.131589897,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal,Left,sub3
0.113853542,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal,Left,sub4
0.144018593,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal,Left,sub5
0.108549716,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal,Left,sub6
0.14166234,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal,Left,sub7
0.151207626,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal,Left,sub8
0.116439494,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal,Left,sub9
0.122419829,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal,Left,sub10
0.141570325,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal,Left,sub11
0.180323361,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal,Left,sub12
0.139087134,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal,Left,sub1
0.098103207,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal,Left,sub2
0.140908344,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal,Left,sub3
0.066552445,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal,Left,sub4
0.128547399,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal,Left,sub5
0.099533161,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal,Left,sub6
0.146159995,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal,Left,sub7
0.149616551,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal,Left,sub8
0.088834638,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal,Left,sub9
0.10559937,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal,Left,sub10
0.097431405,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal,Left,sub11
0.155706665,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal,Left,sub12
0.084772535,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub1,Ventral,Right,sub1
0.129190319,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub2,Ventral,Right,sub2
